Time;Open;High;Low;Close;Volume;Marketcap
Aug 01, 2010;0.04951;0.04951;0.04951;0.04951;5251.464351;0
Aug 02, 2010;0.04951;0.08585;0.05941;0.08584;4193.849021;0
Aug 03, 2010;0.08584;0.09307;0.07723;0.0808;12153.46535;0
Aug 04, 2010;0.0808;0.08181;0.07426;0.07474;4669.521006;0
Aug 05, 2010;0.07474;0.07921;0.06634;0.07921;6350.208307;0
Aug 06, 2010;0.07921;0.08181;0.0505;0.0505;2772.277228;0
Aug 07, 2010;0.0505;0.06767;0.0505;0.06262;4183.966784;0
Aug 08, 2010;0.06262;0.06161;0.05049;0.05454;4033.736707;0
Aug 09, 2010;0.05454;0.05941;0.0505;0.0505;26990.09901;0
Aug 10, 2010;0.0505;0.056;0.05;0.056;2339.285714;0
Aug 11, 2010;0.056;0.0605;0.053;0.06;23433.33333;0
Aug 12, 2010;0.06;0.062;0.054;0.0589;3497.453311;0
Aug 13, 2010;0.0589;0.0699;0.0571;0.0699;5135.908441;0
Aug 14, 2010;0.0699;0.0698;0.0582;0.0627;7017.54386;0
Aug 15, 2010;0.0627;0.06889;0.056;0.06785;6573.323508;0
Aug 16, 2010;0.06785;0.065;0.06;0.0611;17561.3748;0
Aug 17, 2010;0.0611;0.0633;0.06;0.06;21983.33333;0
Aug 18, 2010;0.06;0.065;0.059;0.06;4916.666667;0
Aug 19, 2010;0.06;0.06231;0.057;0.057;1298.245614;0
Aug 20, 2010;0.057;0.061;0.058;0.061;6885.245902;0
Aug 21, 2010;0.061;0.0624;0.0607;0.0623;16757.6244;0
Aug 22, 2010;0.0623;0.0622;0.059;0.059;31610.16949;0
Aug 23, 2010;0.059;0.061;0.059;0.0609;7060.755337;0
Aug 24, 2010;0.0609;0.0735;0.0593;0.071;9450.704225;0
Aug 25, 2010;0.071;0.0709;0.06651;0.07;6042.857143;0
Aug 26, 2010;0.07;0.07541;0.06;0.067;5776.119403;0
Aug 27, 2010;0.067;0.07;0.06141;0.07;12871.42857;0
Aug 28, 2010;0.07;0.068;0.0645;0.0645;9565.891473;0
Aug 29, 2010;0.0645;0.0695;0.0645;0.067;4731.343284;0
Aug 30, 2010;0.067;0.067;0.065;0.06529;52366.36545;0
Aug 31, 2010;0.06529;0.0679;0.062;0.0655;22732.82443;0
Sep 01, 2010;0.0655;0.0769;0.06243;0.07;10242.85714;0
Sep 02, 2010;0.07;0.0733;0.067;0.068;11985.29412;0
Sep 03, 2010;0.068;0.0679;0.0667;0.0667;1334.332834;0
Sep 04, 2010;0.0667;0.0667;0.065;0.0655;5038.167939;0
Sep 05, 2010;0.0655;0.0669;0.0644;0.0664;12740.96386;0
Sep 06, 2010;0.0664;0.0664;0.0612;0.066;1378.787879;0
Sep 07, 2010;0.066;0.06689;0.063;0.06491;5330.457557;0
Sep 08, 2010;0.06491;0.0665;0.06491;0.065;3615.384615;0
Sep 09, 2010;0.065;0.0665;0.0641;0.0648;2669.753086;0
Sep 10, 2010;0.0648;0.0658;0.064;0.064;7718.75;0
Sep 11, 2010;0.064;0.065;0.063;0.065;11923.07692;0
Sep 12, 2010;0.065;0.065;0.0641;0.0641;1232.449298;0
Sep 13, 2010;0.0641;0.0648;0.064;0.064;15750;0
Sep 14, 2010;0.064;0.069;0.058;0.06497;21579.1904;0
Sep 15, 2010;0.06497;0.0649;0.06;0.06;6083.333333;0
Sep 16, 2010;0.06;0.0629;0.05961;0.0629;1160.572337;0
Sep 17, 2010;0.0629;0.0634;0.0601;0.0634;11451.1041;0
Sep 18, 2010;0.0634;0.063;0.06085;0.06085;11651.6023;0
Sep 19, 2010;0.06085;0.06238;0.0612;0.06238;20599.55114;0
Sep 20, 2010;0.06238;0.064;0.0605;0.0616;23230.51948;0
Sep 21, 2010;0.0616;0.0627;0.0616;0.0616;9318.181818;0
Sep 22, 2010;0.0616;0.06201;0.0603;0.061;18950.81967;0
Sep 23, 2010;0.061;0.062;0.06099;0.062;25016.12903;0
Sep 24, 2010;0.062;0.0624;0.06109;0.06111;1112.747505;0
Sep 25, 2010;0.06111;0.0618;0.06014;0.0618;3478.964401;0
Sep 26, 2010;0.0618;0.065;0.0619;0.06366;18944.39208;0
Sep 27, 2010;0.06366;0.0621;0.0615;0.0615;17479.6748;0
Sep 28, 2010;0.0615;0.064;0.0607;0.06219;11400.54671;0
Sep 29, 2010;0.06219;0.072;0.061;0.06199;37877.07695;0
Sep 30, 2010;0.06199;0.0625;0.0604;0.0604;13112.58278;0
Oct 01, 2010;0.0604;0.0619;0.0618;0.0619;2778.675283;0
Oct 02, 2010;0.0619;0.0609;0.059;0.059;22135.59322;0
Oct 03, 2010;0.059;0.061;0.05761;0.061;11754.09836;0
Oct 04, 2010;0.061;0.0627;0.06;0.0627;54226.47528;0
Oct 05, 2010;0.0627;0.0634;0.062;0.0621;44331.72303;0
Oct 06, 2010;0.0621;0.0633;0.0623;0.06265;53359.93615;0
Oct 07, 2010;0.06265;0.0624;0.06147;0.0622;70241.15756;0
Oct 08, 2010;0.0622;0.063;0.0615;0.06231;223543.5725;0
Oct 09, 2010;0.06231;0.0624;0.06209;0.0622;302009.6463;0
Oct 10, 2010;0.0622;0.0624;0.0617;0.06202;81715.57562;0
Oct 11, 2010;0.06202;0.06228;0.06186;0.062;22725.80645;0
Oct 12, 2010;0.062;0.06228;0.0619;0.0622;41254.01929;0
Oct 13, 2010;0.0622;0.06271;0.0617;0.0619;76833.60258;0
Oct 14, 2010;0.0619;0.062;0.0615;0.06191;60119.52835;0
Oct 15, 2010;0.06191;0.0619;0.06155;0.0619;39806.13893;0
Oct 16, 2010;0.0619;0.062;0.06189;0.06197;10150.07262;0
Oct 17, 2010;0.06197;0.06191;0.06125;0.0614;29674.2671;0
Oct 18, 2010;0.0614;0.0614;0.061;0.06111;42006.21829;0
Oct 19, 2010;0.06111;0.062;0.06081;0.0613;10179.44535;0
Oct 20, 2010;0.0613;0.06301;0.0609;0.0614;51889.25081;0
Oct 21, 2010;0.0614;0.0635;0.0612;0.06281;71437.66916;0
Oct 22, 2010;0.06281;0.067;0.0628;0.067;51641.79104;0
Oct 23, 2010;0.067;0.088;0.058;0.08685;5089.234312;0
Oct 24, 2010;0.08685;0.12;0.068;0.0938;14712.15352;0
Oct 25, 2010;0.0938;0.1301;0.07999;0.0965;31398.96373;0
Oct 26, 2010;0.0965;0.103;0.091;0.095;40463.15789;0
Oct 27, 2010;0.095;0.099;0.082;0.0949;138271.8651;0
Oct 28, 2010;0.0949;0.105;0.092;0.105;41009.52381;0
Oct 29, 2010;0.105;0.1045;0.065;0.102;56254.90196;0
Oct 30, 2010;0.102;0.119;0.092;0.105;50876.19048;0
Oct 31, 2010;0.105;0.103;0.1;0.101;79881.18812;0
Nov 01, 2010;0.101;0.1045;0.1;0.102;41686.27451;0
Nov 02, 2010;0.102;0.103;0.097;0.1024;11425.78125;0
Nov 03, 2010;0.1024;0.1019;0.097;0.097;126742.268;0
Nov 04, 2010;0.097;0.103;0.094;0.099;60000;0
Nov 05, 2010;0.099;0.109;0.097;0.107;102672.8972;0
Nov 06, 2010;0.107;0.109;0.1015;0.1025;127843.9024;0
Nov 07, 2010;0.1025;0.109;0.1045;0.1055;219582.9384;0
Nov 08, 2010;0.1055;0.19;0.108;0.115;205565.2174;0
Nov 09, 2010;0.115;0.19;0.09009;0.132;72696.9697;0
Nov 10, 2010;0.132;0.18;0.133;0.1503;40439.12176;0
Nov 11, 2010;0.1503;0.19;0.151;0.1877;5359.616409;0
Nov 12, 2010;0.1877;0.191;0.1731;0.1731;70571.92374;0
Nov 13, 2010;0.1731;0.19;0.173;0.19;34610.52632;0
Nov 14, 2010;0.19;0.199;0.1875;0.1989;25399.69834;0
Nov 15, 2010;0.1989;0.1989;0.171;0.1925;13262.33766;0
Nov 16, 2010;0.1925;0.1955;0.172;0.1955;34710.99744;0
Nov 17, 2010;0.1955;0.195;0.1905;0.1938;33921.56863;0
Nov 18, 2010;0.1938;0.275;0.125;0.1931;58182.28897;0
Nov 19, 2010;0.1931;0.236;0.1934;0.23;2817.391304;0
Nov 20, 2010;0.23;0.2639;0.2101;0.26;16903.84615;0
Nov 21, 2010;0.26;0.5;0.2402;0.39;592.3076923;0
Nov 22, 2010;0.39;0.47;0.286;0.34;24891.17647;0
Nov 23, 2010;0.34;0.37;0.2261;0.243;6000;0
Nov 24, 2010;0.243;0.323;0.199;0.21;3600;0
Nov 25, 2010;0.21;0.24;0.14;0.24;2100;0
Nov 26, 2010;0.24;0.24;0.21;0.2231;45087.40475;0
Nov 27, 2010;0.2231;0.29;0.223;0.2682;2046.979866;0
Nov 28, 2010;0.2682;0.3;0.2683;0.276;22608.69565;0
Nov 29, 2010;0.276;0.299;0.2702;0.279;25132.61649;0
Nov 30, 2010;0.279;0.2828;0.2682;0.2682;16017.89709;0
